"","site_name","year","latitude","longitude","2005-2014_no2","no2","diff"
"1","Alameda Gardens Access Road",2015,36.131153,-5.350701,37.7777777777778,40,2.2
"2","Alameda Gardens Theatre",2015,36.130783,-5.351246,39.3333333333333,40,0.7
"3","Anchorage Rosia Road",2015,36.123528,-5.353585,50.7777777777778,54,3.2
"4","Bleak House",2015,36.112824,-5.350188,25.8181818181818,20,-5.8
"5","Churchill House",2015,36.127987,-5.351273,57.5555555555556,54,-3.6
"6","Devils Tower Road",2015,36.146991,-5.344171,45.7272727272727,41,-4.7
"7","Dockyard Road",2015,36.129757,-5.353104,56.2222222222222,56,-0.2
"8","Gardiners Road",2015,36.133495,-5.350771,39.6666666666667,41,1.3
"9","George Don House",2015,36.147778,-5.351086,41.3636363636364,45,3.6
"10","Glacis Road",2015,36.146315,-5.353284,54.5454545454545,60,5.5
"11","Governors Meadow House",2015,36.13022,-5.352562,52.1111111111111,51,-1.1
"12","Harbour Views",2015,36.146002,-5.36131,37.9090909090909,47,9.1
"13","Jumpers",2015,36.128969,-5.352105,60,62,2
"14","Lathbury Industrial Park",2015,36.118744,-5.344721,25.6666666666667,19,-6.7
"15","Lime Kiln Road",2015,36.13931,-5.350889,42.2727272727273,48,5.7
"16","Main Street",2015,36.14399,-5.35296,36.7272727272727,43,6.3
"17","Prince Edwards Road",2015,36.137404,-5.352179,44.5454545454545,49,4.5
"18","Queensway",2015,36.141443,-5.355986,40.2727272727273,57,16.7
"19","Red Sands Road",2015,36.1302,-5.35197,48.6363636363636,52,3.4
"20","Rock Hotel",2015,36.131527,-5.350157,53.1111111111111,54,0.9
"21","Rosia Promenade",2015,36.13201,-5.352949,48.2222222222222,51,2.8
"22","Rosia Road",2015,36.133317,-5.353175,45,49,4
"23","South Barracks Road",2015,36.12634,-5.35071,55.9090909090909,59,3.1
"24","Sundial Roundabout",2015,36.148754,-5.34956,53.3333333333333,57,3.7
"25","Upper Withams Entrance",2015,36.127277,-5.350808,53.2222222222222,57,3.8
"26","Water Gardens",2015,36.14653,-5.35507,47.2727272727273,55,7.7
"27","Woodford Cottage",2015,36.125225,-5.349747,53.8888888888889,53,-0.9
